rank,title ,year,decade,domestic_gross,domestic_prcnt,foreign_gross,foreign_prcnt ,worldwide_gross,budget,budget_recovered_prcnt,times_budget_recovered,running_time,rating
1,Avatar,2009,2000's,"785,221,649",26.9%,"2,138,484,377",73.1%,"2,923,706,026","237,000,000",1234%,12.3,2:42:00,PG-13
2,Avengers: Endgame,2019,2010's,"858,373,000",30.7%,"1,941,066,100",69.3%,"2,799,439,100","356,000,000",786%,7.9,3:01:00,PG-13
3,Avatar: The Way of Water,2022,2020's,"684,075,767",29.5%,"1,636,174,514",70.5%,"2,320,250,281","460,000,000",504%,5.0,3:12:00,PG-13
4,Titanic,1997,1990's,"674,292,608",29.8%,"1,590,450,697",70.2%,"2,264,743,305","200,000,000",1132%,11.3,3:14:00,PG-13
5,Star Wars: Episode VII - The Force Awakens,2015,2010's,"936,662,225",45.2%,"1,134,647,993",54.8%,"2,071,310,218","245,000,000",845%,8.5,2:18:00,PG-13
6,Avengers: Infinity War,2018,2010's,"678,815,482",33.1%,"1,373,599,557",66.9%,"2,052,415,039","300,000,000",684%,6.8,2:29:00,PG-13
7,Spider-Man: No Way Home,2021,2020's,"814,115,070",42.4%,"1,107,732,041",57.6%,"1,921,847,111","200,000,000",961%,9.6,2:28:00,PG-13
8,Jurassic World,2015,2010's,"653,406,625",39.1%,"1,018,130,819",60.9%,"1,671,537,444","150,000,000",1114%,11.1,2:04:00,PG-13
9,The Lion King,2019,2010's,"543,638,043",32.7%,"1,119,437,358",67.3%,"1,663,075,401","260,000,000",640%,6.4,1:58:00,PG
10,The Avengers,2012,2010's,"623,357,910",41.0%,"897,180,626",59.0%,"1,520,538,536","220,000,000",691%,6.9,2:23:00,PG-13
11,Furious 7,2015,2010's,"353,007,020",23.3%,"1,162,334,379",76.7%,"1,515,341,399","190,000,000",798%,8.0,2:17:00,PG-13
12,Top Gun: Maverick,2022,2020's,"718,732,821",48.1%,"776,963,471",51.9%,"1,495,696,292","170,000,000",880%,8.8,2:10:00,PG-13
13,Frozen II,2019,2010's,"477,373,578",32.8%,"979,309,898",67.2%,"1,456,683,476","150,000,000",971%,9.7,1:43:00,PG
14,Barbie,2023,2020's,"626,647,793",44.2%,"791,800,000",55.8%,"1,418,447,793","151,000,000",939%,9.4,1:54:00,PG-13
15,Avengers: Age of Ultron,2015,2010's,"459,005,868",32.7%,"946,012,180",67.3%,"1,405,018,048","250,000,000",562%,5.6,2:21:00,PG-13
16,The Super Mario Bros. Movie,2023,2020's,"574,934,330",42.2%,"787,217,776",57.8%,"1,362,152,106","100,000,000",1362%,13.6,1:32:00,PG
17,Black Panther,2018,2010's,"700,426,566",51.9%,"649,499,517",48.1%,"1,349,926,083","200,000,000",675%,6.7,2:14:00,PG-13
18,Harry Potter and the Deathly Hallows: Part 2,2011,2010's,"381,447,587",28.4%,"960,912,354",71.6%,"1,342,359,941","125,000,000",1074%,10.7,2:10:00,PG-13
19,Star Wars: Episode VIII - The Last Jedi,2017,2010's,"620,181,382",46.5%,"714,226,324",53.5%,"1,334,407,706","317,000,000",421%,4.2,2:32:00,PG-13
